gcp_label,image_file_name,x,y,lon,lat,elev,lon_acc,lat_acc,elev_acc
cg17,ARBCSRD00010032.tif,4697.28,1028.37,-111.77445,32.77029,411.63,2,2,1
cg18,ARBCSRD00010032.tif,7779.19,1096.35,-111.77506,32.7523,415.38,2,2,1
cg18,ARBCSRD00010033.tif,3978.6,938.86,-111.77506,32.7523,415.38,2,2,1
cg19,ARBCSRD00010033.tif,8656.87,920.22,-111.77533,32.72532,422.53,2,2,1
cg19,ARBCSRD00010034.tif,4817.01,959.49,-111.77533,32.72532,422.53,2,2,1
cg20,ARBCSRD00010046.tif,5195.69,1472.04,-111.86918,32.89779,373.26,2,2,1
cg20,ARBCSRD00010047.tif,8987.01,1587.03,-111.86918,32.89779,373.26,2,2,1
cg21,ARBCSRD00010046.tif,2176.37,4532.42,-111.84873,32.87951,380.7,2,2,1
cg21,ARBCSRD00010047.tif,5916.56,4570.75,-111.84873,32.87951,380.7,2,2,1
cg22,ARBCSRD00010047.tif,5971.68,7837.47,-111.82627,32.87952,383.24,2,2,1
cg22,ARBCSRD00010048.tif,9393.96,7445.3,-111.82627,32.87952,383.24,2,2,1
cg23,ARBCSRD00010048.tif,1030.19,7488.7,-111.82742,32.83045,392.57,2,2,1
cg23,ARBCSRD00010049.tif,4780.16,7419.65,-111.82742,32.83045,392.57,2,2,1
cg24,ARBCSRD00010048.tif,4383.45,2557.27,-111.8609,32.85062,383.59,2,2,1
cg24,ARBCSRD00010049.tif,8141.22,2489.97,-111.8609,32.85062,383.59,2,2,1
cg25,ARBCSRD00010050.tif,3109.18,6792.55,-111.83216,32.79944,396.58,2,2,1
cg25,ARBCSRD00010051.tif,6681.2,6472.45,-111.83216,32.79944,396.58,2,2,1
cg26,ARBCSRD00010051.tif,2954.8,5994.21,-111.83573,32.77773,398.92,2,2,1
cg26,ARBCSRD00010052.tif,6599.8,6112.66,-111.83573,32.77773,398.92,2,2,1
cg27,ARBCSRD00010052.tif,1815.54,1317.44,-111.86915,32.75006,396.91,2,2,1
cg27,ARBCSRD00010053.tif,5483.9,1103.29,-111.86915,32.75006,396.91,2,2,1
cg28,ARBCSRD00010053.tif,1758.52,2567.56,-111.86012,32.72816,398.93,2,2,1
cg28,ARBCSRD00010054.tif,5778.61,2551.4,-111.86012,32.72816,398.93,2,2,1
cg29,ARBCSRD00010067.tif,7276.52,7149.11,-111.90424,32.86514,375.35,2,2,1
cg29,ARBCSRD00010068.tif,3615.63,7211.26,-111.90424,32.86514,375.35,2,2,1
cg30,ARBCSRD00010068.tif,8786.68,4950.49,-111.88861,32.8349,381.05,2,2,1
cg30,ARBCSRD00010069.tif,5073.19,4930.92,-111.88861,32.8349,381.05,2,2,1
cg31,ARBCSRD00010069.tif,8092.59,716.7,-111.85942,32.81746,387.65,2,2,1
cg31,ARBCSRD00010070.tif,4308.34,689.32,-111.85942,32.81746,387.65,2,2,1
cg32,ARBCSRD00010070.tif,6848.63,5147.36,-111.89013,32.8026,385.99,2,2,1
cg32,ARBCSRD00010071.tif,3132.85,5131.38,-111.89013,32.8026,385.99,2,2,1
cg33,ARBCSRD00010071.tif,8322.13,4729.36,-111.88729,32.77237,391.29,2,2,1
cg33,ARBCSRD00010072.tif,4552.4,4932.25,-111.88729,32.77237,391.29,2,2,1
cg34,ARBCSRD00010072.tif,8350.01,4524.6,-111.8844,32.75027,395.96,2,2,1
cg34,ARBCSRD00010073.tif,4636.79,4421.53,-111.8844,32.75027,395.96,2,2,1
